date,gdp_growth_pct,unemployment_pct,cpi_yoy_pct,fed_funds_rate,sp500_close
2014-01-01,2.8,6.6,1.6,0.07,2000
2014-02-01,1.9,6.5,1.7,0.07,2000
2014-03-01,2.5,6.5,1.7,0.07,2000
2014-04-01,1.3,6.4,2.0,0.07,2000
2014-05-01,1.9,6.5,2.1,0.07,2200.62
2014-06-01,4.4,6.5,2.4,0.07,2145.55
2014-07-01,2.8,6.5,2.3,0.07,2267.28
2014-08-01,2.3,6.6,2.2,0.07,2310.56
2014-09-01,3.4,6.6,2.1,0.07,2239.87
2014-10-01,1.3,6.5,2.1,0.07,2404.42
2014-11-01,3.0,6.5,1.9,0.07,2484.11
2014-12-01,1.9,6.4,2.1,0.07,2476.03
2015-01-01,2.7,6.3,2.1,0.07,2591.76
2015-02-01,2.4,6.2,2.2,0.07,2580.07
2015-03-01,0.5,6.4,2.2,0.07,2700.24
2015-04-01,2.2,6.2,2.3,0.07,2565.74
2015-05-01,2.5,6.2,2.3,0.07,2616.85
2015-06-01,1.4,6.3,2.2,0.07,2454.11
2015-07-01,2.1,6.3,2.4,0.07,2464.2
2015-08-01,1.4,6.2,2.5,0.07,2430.73
2015-09-01,1.5,6.1,2.4,0.07,2527.2
2015-10-01,0.7,6.1,2.4,0.07,2485.74
2015-11-01,3.6,6.2,2.3,0.07,2378.98
2015-12-01,3.3,6.2,2.2,0.25,2463.69
2016-01-01,2.6,6.2,2.4,0.26,2481.4
2016-02-01,3.2,6.4,2.5,0.36,2375.73
2016-03-01,3.0,6.4,2.6,0.42,2457.96
2016-04-01,2.4,6.3,2.7,0.46,2560.4
2016-05-01,2.4,6.2,2.8,0.56,2605.28
2016-06-01,1.3,6.3,2.7,0.6,2496.41
2016-07-01,2.0,6.2,2.7,0.67,2553.87
2016-08-01,2.1,6.1,2.6,0.72,2708.41
2016-09-01,2.1,6.0,2.6,0.75,2689.36
2016-10-01,0.1,6.0,2.7,0.83,2676.53
2016-11-01,2.1,6.0,2.8,0.9,2877.72
2016-12-01,1.7,6.0,2.7,1.03,2982.33
2017-01-01,2.3,6.1,2.7,1.09,2770.78
2017-02-01,2.6,6.1,2.8,1.17,2870.62
2017-03-01,1.9,5.9,2.8,1.21,2924.4
2017-04-01,2.5,5.8,2.6,1.26,2952.95
2017-05-01,2.9,5.7,2.7,1.35,3105.75
2017-06-01,1.8,5.5,2.6,1.41,3282.05
2017-07-01,2.3,5.6,2.8,1.5,3136.01
2017-08-01,1.9,5.6,2.7,1.5,3005.2
2017-09-01,3.6,5.5,2.8,1.5,3031.49
2017-10-01,1.9,5.6,2.9,1.5,3060.21
2017-11-01,3.3,5.6,2.8,1.5,3127.57
2017-12-01,0.9,5.6,2.8,1.5,3222.0
2018-01-01,2.6,5.5,2.7,1.55,3393.1
2018-02-01,3.3,5.4,2.9,1.62,3170.38
2018-03-01,2.2,5.5,2.7,1.7,3381.84
2018-04-01,3.2,5.6,2.6,1.76,3491.15
2018-05-01,1.3,5.6,2.5,1.82,3685.48
2018-06-01,1.8,5.7,2.3,1.93,3806.35
2018-07-01,2.0,5.7,2.3,2.01,3779.93
2018-08-01,1.7,5.7,2.5,2.1,3655.04
2018-09-01,2.3,5.8,2.2,2.17,3818.8
2018-10-01,1.6,5.8,2.1,2.23,3908.43
2018-11-01,4.3,5.8,2.3,2.31,3987.91
2018-12-01,0.9,5.7,2.4,2.39,4056.67
2019-01-01,1.9,5.8,2.3,2.35,4137.77
2019-02-01,2.2,5.8,2.2,2.3,4363.56
2019-03-01,3.0,5.8,2.0,2.25,4735.08
2019-04-01,1.4,5.7,2.0,2.17,4630.78
2019-05-01,2.3,5.7,2.0,2.16,4670.15
2019-06-01,0.3,5.5,1.8,2.12,5012.88
2019-07-01,3.5,5.4,1.9,2.07,5130.01
2019-08-01,2.6,5.4,1.9,2.04,5337.24
2019-09-01,1.9,5.4,2.1,1.97,5155.84
2019-10-01,2.6,5.3,2.2,1.96,5212.88
2019-11-01,2.2,5.2,2.3,1.92,5243.01
2019-12-01,3.7,5.1,2.5,1.88,5248.21
2020-01-01,-2.7,5.0,2.7,0.09,5402.52
2020-02-01,0.5,4.9,2.7,0.09,4661.12
2020-03-01,-1.5,4.6,2.6,0.09,4080.23
2020-04-01,-23.9,14.7,2.7,0.08,4414.49
2020-05-01,-22.6,14.0,2.8,0.08,4709.54
2020-06-01,-25.0,13.3,2.7,0.09,5324.78
2020-07-01,21.4,12.7,2.6,0.09,5490.76
2020-08-01,22.3,12.1,2.6,0.08,5770.25
2020-09-01,25.5,11.4,2.7,0.07,6216.4
2020-10-01,-2.4,10.6,2.8,0.08,6484.94
2020-11-01,-4.5,10.1,2.6,0.08,7187.94
2020-12-01,1.2,9.6,2.6,0.11,7963.77
2021-01-01,5.8,9.5,3.0,0.12,8553.12
2021-02-01,4.2,9.2,3.4,0.12,8983.63
2021-03-01,4.7,8.8,3.8,0.12,8431.46
2021-04-01,3.5,8.5,4.4,0.12,8658.4
2021-05-01,5.6,8.3,5.1,0.13,8766.48
2021-06-01,4.3,8.2,5.4,0.14,8538.63
2021-07-01,4.7,7.9,5.9,0.13,8654.28
2021-08-01,4.9,7.7,6.4,0.13,9077.79
2021-09-01,3.5,7.4,6.8,0.11,8908.82
2021-10-01,7.2,7.2,7.5,0.09,8625.07
2021-11-01,5.7,7.0,7.5,0.09,8593.74
2021-12-01,4.6,6.8,7.5,0.09,8604.93
2022-01-01,2.1,6.9,7.8,0.54,8836.45
2022-02-01,3.7,6.9,8.1,1.19,8718.99
2022-03-01,2.9,6.9,8.3,1.71,8521.98
2022-04-01,1.9,6.9,8.8,2.23,8902.4
2022-05-01,2.3,6.9,9.1,2.8,8828.44
2022-06-01,1.9,6.9,9.1,3.37,9081.86
