result_id,race_id,driver_id,grid,position,points,laps,status,fastest_lap,fastest_lap_ms
1,1,1,1,1,26.0,55,Finished,True,86467
2,1,4,2,2,18.0,55,Finished,False,
3,1,2,3,3,15.0,55,Finished,False,
4,1,7,5,4,12.0,55,Finished,False,
5,1,3,6,5,10.0,55,Finished,False,
6,1,8,4,6,8.0,55,Finished,False,
7,1,6,9,7,6.0,55,Finished,False,
8,1,5,7,8,4.0,55,Finished,False,
9,1,11,13,9,2.0,55,Finished,False,
10,1,9,8,10,1.0,55,Finished,False,
11,1,13,14,11,0.0,55,Finished,False,
12,1,20,16,12,0.0,55,Finished,False,
13,1,12,12,13,0.0,55,Finished,False,
14,1,17,20,14,0.0,55,Finished,False,
15,1,15,18,15,0.0,55,Finished,False,
16,1,18,19,16,0.0,54,Finished,False,
17,1,16,17,17,0.0,54,Finished,False,
18,1,19,15,18,0.0,54,Finished,False,
19,1,10,10,,0.0,21,DNF,False,
20,1,14,11,,0.0,17,DNF,False,
21,2,1,1,1,25.0,64,Finished,False,
22,2,2,2,2,19.0,64,Finished,True,80543
23,2,7,4,3,15.0,64,Finished,False,
24,2,4,3,4,12.0,64,Finished,False,
25,2,6,5,5,10.0,64,Finished,False,
26,2,8,7,6,8.0,64,Finished,False,
27,2,5,6,7,6.0,64,Finished,False,
28,2,3,8,8,4.0,64,Finished,False,
29,2,9,9,9,2.0,64,Finished,False,
30,2,10,11,10,1.0,64,Finished,False,
31,2,11,12,11,0.0,64,Finished,False,
32,2,13,19,12,0.0,64,Finished,False,
33,2,12,13,13,0.0,64,Finished,False,
34,2,20,14,14,0.0,64,Finished,False,
35,2,16,18,15,0.0,64,Finished,False,
36,2,18,20,16,0.0,63,Finished,False,
37,2,14,10,17,0.0,63,Finished,False,
38,2,15,17,18,0.0,63,Finished,False,
39,2,17,15,19,0.0,63,Finished,False,
40,2,19,16,20,0.0,63,Finished,False,
41,3,1,1,1,25.0,55,Finished,False,
42,3,2,2,2,18.0,55,Finished,False,
43,3,4,6,3,15.0,55,Finished,False,
44,3,5,7,4,13.0,55,Finished,True,81580
45,3,3,5,5,10.0,55,Finished,False,
