order_id,user_id,status,total,created_at
1,10,completed,2677.91,2024-01-16
2,8,completed,2429.83,2024-01-24
3,7,shipped,209.97,2024-01-03
4,2,completed,989.91,2024-01-22
5,8,completed,1169.94,2024-01-18
6,8,shipped,1217.99,2024-01-20
7,9,completed,2039.86,2024-02-17
8,1,pending,209.98,2024-02-17
9,9,completed,1099.85,2024-02-15
10,10,completed,339.97,2024-02-09
11,5,completed,509.94,2024-03-08
12,3,completed,839.92,2024-03-18
13,1,completed,1049.97,2024-03-28
14,2,shipped,669.95,2024-03-06
15,7,completed,629.93,2024-03-21
16,3,completed,259.98,2024-03-01
17,4,completed,1098.94,2024-04-19
18,5,completed,1649.84,2024-04-03
19,9,completed,1164.93,2024-04-03
20,7,completed,1038.98,2024-04-11
21,2,completed,1234.94,2024-04-25
22,8,shipped,519.94,2024-04-14
23,5,completed,589.91,2024-05-15
24,5,completed,299.99,2024-05-10
25,3,cancelled,1213.92,2024-05-02
26,8,cancelled,2401.93,2024-05-22
27,3,completed,419.94,2024-05-08
28,1,pending,1229.93,2024-06-24
29,2,completed,1059.94,2024-06-14
30,10,shipped,919.91,2024-06-15
31,9,completed,1104.86,2024-06-16
32,9,completed,149.97,2024-06-15
33,4,completed,184.96,2024-07-20
34,9,completed,2106.97,2024-07-13
35,9,completed,659.93,2024-07-03
36,8,completed,279.97,2024-08-24
37,2,shipped,1976.98,2024-08-25
38,5,shipped,209.94,2024-08-01
39,3,completed,1224.85,2024-08-21
40,10,completed,1704.83,2024-08-10
41,5,pending,79.99,2024-08-03
42,8,completed,669.91,2024-08-18
43,2,completed,1592.95,2024-09-07
44,10,pending,2339.87,2024-09-09
45,3,shipped,1299.94,2024-09-01
46,5,completed,1549.92,2024-09-16
47,4,completed,999.88,2024-09-11
48,6,completed,1443.94,2024-10-22
49,3,shipped,2099.8,2024-10-28
50,2,completed,1384.93,2024-10-13
51,5,shipped,4046.82,2024-10-24
52,8,completed,49.99,2024-10-14
53,9,shipped,939.95,2024-10-24
54,3,pending,509.94,2024-10-13
55,9,completed,829.9,2024-11-09
56,10,completed,2056.98,2024-11-05
57,8,shipped,1699.84,2024-11-01
58,7,pending,1049.97,2024-11-17
59,9,pending,799.94,2024-11-21
60,5,shipped,1103.93,2024-12-02
61,10,completed,699.98,2024-12-11
62,10,completed,1839.85,2024-12-11
63,4,completed,179.98,2024-12-09
64,1,cancelled,1198.0,2024-12-04
65,5,completed,319.96,2024-12-04
66,7,pending,499.94,2024-12-15
