date,city,country,temp_high_c,temp_low_c,precipitation_mm,humidity_pct,condition
2021-01-01,New York,USA,-12.4,-19.7,4.8,78.2,Cloudy
2021-01-01,London,UK,1.1,-9.8,0.2,99,Overcast
2021-01-01,Tokyo,Japan,-6.3,-18.8,1.3,83.4,Overcast
2021-01-01,Sydney,Australia,32.4,22.6,1.6,76.8,Sunny
2021-01-01,Cairo,Egypt,6.3,-4.9,0.9,70.6,Partly Cloudy
2021-01-02,New York,USA,-11.3,-21.0,0.8,76.0,Sunny
2021-01-02,London,UK,-1.3,-10.8,0.1,37.5,Cloudy
2021-01-02,Tokyo,Japan,-8.3,-14.3,0.8,34.6,Overcast
2021-01-02,Sydney,Australia,31.4,27.8,0.0,72.3,Hazy
2021-01-02,Cairo,Egypt,5.3,-4.1,0.0,80.6,Partly Cloudy
2021-01-03,New York,USA,-9.3,-14.8,0.5,74.9,Partly Cloudy
2021-01-03,London,UK,1.7,-6.0,0.5,72.8,Cloudy
2021-01-03,Tokyo,Japan,-8.1,-12.3,0.1,62.6,Sunny
2021-01-03,Sydney,Australia,31.0,21.0,0.2,58.2,Sunny
2021-01-03,Cairo,Egypt,4.8,-2.8,0.0,48.3,Drizzle
2021-01-04,New York,USA,-13.0,-21.4,0.3,99,Cloudy
2021-01-04,London,UK,1.6,-7.9,1.9,46.6,Drizzle
2021-01-04,Tokyo,Japan,-7.5,-16.0,0.8,53.9,Sunny
2021-01-04,Sydney,Australia,31.7,23.6,0.0,93.6,Hazy
2021-01-04,Cairo,Egypt,7.3,-6.3,0.0,42.8,Snow
2021-01-05,New York,USA,-8.9,-20.7,0.1,75.0,Overcast
2021-01-05,London,UK,-2.7,-8.5,0.1,83.2,Overcast
2021-01-05,Tokyo,Japan,-7.2,-14.4,3.0,50.2,Sunny
2021-01-05,Sydney,Australia,28.7,22.6,9.5,76.1,Heavy Rain
2021-01-05,Cairo,Egypt,4.9,-4.5,0.0,55.9,Snow
2021-01-06,New York,USA,-14.6,-18.2,0.6,63.7,Partly Cloudy
2021-01-06,London,UK,-1.2,-7.4,0.0,78.1,Partly Cloudy
2021-01-06,Tokyo,Japan,-5.3,-13.7,0.1,71.5,Partly Cloudy
2021-01-06,Sydney,Australia,32.3,22.0,0.1,69.1,Sunny
2021-01-06,Cairo,Egypt,5.1,-4.6,0.7,84.8,Partly Cloudy
2021-01-07,New York,USA,-12.3,-18.8,0.5,67.6,Snow
2021-01-07,London,UK,-1.1,-7.1,0.0,64.1,Sunny
2021-01-07,Tokyo,Japan,-2.7,-15.8,0.2,52.0,Partly Cloudy
2021-01-07,Sydney,Australia,34.8,26.9,2.9,20,Sunny
2021-01-07,Cairo,Egypt,0.8,-2.5,0.4,55.6,Cloudy
2021-01-08,New York,USA,-13.9,-16.5,0.3,77.3,Snow
2021-01-08,London,UK,-0.7,-5.5,0.1,35.8,Overcast
2021-01-08,Tokyo,Japan,-4.5,-19.5,0.5,78.8,Sunny
2021-01-08,Sydney,Australia,36.2,17.7,0.4,28.6,Sunny
2021-01-08,Cairo,Egypt,3.7,-3.7,0.1,99,Snow
2021-01-09,New York,USA,-6.3,-19.7,0.5,74.7,Overcast
2021-01-09,London,UK,-0.2,-6.6,0.2,64.9,Cloudy
2021-01-09,Tokyo,Japan,-9.9,-14.4,0.1,61.5,Snow
2021-01-09,Sydney,Australia,35.8,23.1,0.1,44.1,Sunny
2021-01-09,Cairo,Egypt,4.3,-4.6,0.0,77.5,Sunny
2021-01-10,New York,USA,-18.0,-20.0,0.0,36.7,Drizzle
2021-01-10,London,UK,-0.6,-8.5,0.4,58.6,Overcast
2021-01-10,Tokyo,Japan,-6.4,-11.0,0.7,58.9,Drizzle
2021-01-10,Sydney,Australia,24.9,21.8,0.6,62.7,Clear
2021-01-10,Cairo,Egypt,3.8,-4.8,0.0,85.3,Drizzle
2021-01-11,New York,USA,-9.4,-16.3,0.3,36.4,Drizzle
2021-01-11,London,UK,-2.7,-6.7,0.1,68.6,Snow
2021-01-11,Tokyo,Japan,-4.0,-10.0,0.1,83.6,Partly Cloudy
2021-01-11,Sydney,Australia,30.9,22.7,0.0,58.2,Hazy
2021-01-11,Cairo,Egypt,10.5,-4.6,0.1,78.0,Clear
2021-01-12,New York,USA,-13.8,-22.3,1.9,64.8,Sunny
2021-01-12,London,UK,-2.2,-7.5,0.0,53.7,Partly Cloudy
2021-01-12,Tokyo,Japan,-5.4,-15.4,0.4,98.7,Snow
2021-01-12,Sydney,Australia,31.5,22.7,0.0,77.0,Hazy
2021-01-12,Cairo,Egypt,4.0,-2.1,0.0,53.3,Overcast
2021-01-13,New York,USA,-11.9,-16.2,0.1,69.0,Sunny
2021-01-13,London,UK,-4.5,-6.8,0.6,56.8,Partly Cloudy
2021-01-13,Tokyo,Japan,-4.4,-13.8,0.3,69.1,Overcast
2021-01-13,Sydney,Australia,27.1,22.9,0.4,61.6,Cloudy
2021-01-13,Cairo,Egypt,5.3,-5.9,0.3,53.4,Snow
2021-01-14,New York,USA,-11.7,-20.3,0.0,86.0,Drizzle
2021-01-14,London,UK,3.2,-10.7,0.3,27.8,Partly Cloudy
2021-01-14,Tokyo,Japan,-11.4,-14.5,0.0,66.6,Overcast
2021-01-14,Sydney,Australia,30.5,25.7,1.0,38.2,Sunny
2021-01-14,Cairo,Egypt,4.4,-3.3,0.0,65.4,Snow
2021-01-15,New York,USA,-6.4,-15.0,0.0,63.8,Cloudy
2021-01-15,London,UK,-7.3,-9.3,0.4,54.0,Drizzle
2021-01-15,Tokyo,Japan,-7.2,-16.4,0.7,54.9,Sunny
2021-01-15,Sydney,Australia,31.3,22.6,0.3,69.5,Sunny
2021-01-15,Cairo,Egypt,8.0,-0.7,0.3,53.3,Light Rain
2021-01-16,New York,USA,-5.1,-15.9,0.0,77.2,Sunny
2021-01-16,London,UK,2.8,-9.1,1.4,20,Cloudy
2021-01-16,Tokyo,Japan,-4.0,-12.0,0.0,50.3,Partly Cloudy
2021-01-16,Sydney,Australia,28.0,23.2,0.6,30.2,Light Rain
2021-01-16,Cairo,Egypt,7.3,-5.8,0.0,53.6,Overcast
2021-01-17,New York,USA,-8.2,-19.0,0.7,70.2,Partly Cloudy
2021-01-17,London,UK,2.7,-5.4,0.1,67.0,Cloudy
2021-01-17,Tokyo,Japan,-2.9,-10.1,3.1,60.3,Overcast
2021-01-17,Sydney,Australia,29.7,21.4,0.0,51.7,Sunny
2021-01-17,Cairo,Egypt,6.4,-5.2,0.4,64.6,Drizzle
2021-01-18,New York,USA,-13.6,-15.6,0.0,59.1,Sunny
2021-01-18,London,UK,5.2,-7.1,0.1,55.9,Sunny
2021-01-18,Tokyo,Japan,-9.9,-11.9,0.0,80.8,Overcast
2021-01-18,Sydney,Australia,28.3,24.3,0.0,73.5,Sunny
2021-01-18,Cairo,Egypt,8.4,2.1,0.0,42.8,Light Rain
2021-01-19,New York,USA,-8.7,-12.8,0.0,68.3,Drizzle
2021-01-19,London,UK,-1.9,-9.3,1.2,61.1,Drizzle
2021-01-19,Tokyo,Japan,-5.3,-11.8,0.0,58.0,Drizzle
2021-01-19,Sydney,Australia,29.3,19.6,1.2,42.4,Sunny
2021-01-19,Cairo,Egypt,3.1,-5.2,0.0,84.8,Overcast
2021-01-20,New York,USA,-8.8,-19.2,0.2,32.7,Cloudy
2021-01-20,London,UK,-1.6,-8.4,0.2,80.4,Sunny
2021-01-20,Tokyo,Japan,-6.6,-10.3,0.5,99,Snow
2021-01-20,Sydney,Australia,30.8,20.0,0.1,68.5,Partly Cloudy
2021-01-20,Cairo,Egypt,12.3,0.2,0.1,24.8,Sunny
2021-01-21,New York,USA,-5.5,-16.9,0.0,61.0,Drizzle
2021-01-21,London,UK,0.7,-8.1,0.8,51.5,Drizzle
2021-01-21,Tokyo,Japan,-8.2,-13.3,0.2,88.4,Sunny
2021-01-21,Sydney,Australia,32.2,24.9,5.3,32.1,Heavy Rain
2021-01-21,Cairo,Egypt,7.1,-0.8,0.1,79.1,Overcast
2021-01-22,New York,USA,-7.1,-19.2,0.4,42.9,Cloudy
2021-01-22,London,UK,0.6,-7.0,0.2,63.1,Sunny
2021-01-22,Tokyo,Japan,-1.3,-13.9,1.0,65.6,Sunny
2021-01-22,Sydney,Australia,29.4,22.6,0.1,36.7,Sunny
2021-01-22,Cairo,Egypt,5.1,-0.0,0.0,93.1,Cloudy
2021-01-23,New York,USA,-8.4,-14.3,7.5,99,Snowfall
2021-01-23,London,UK,-4.8,-6.9,0.2,60.3,Overcast
2021-01-23,Tokyo,Japan,-1.5,-13.2,1.3,66.6,Overcast
2021-01-23,Sydney,Australia,27.6,25.5,1.0,58.5,Cloudy
2021-01-23,Cairo,Egypt,4.3,2.0,0.3,46.0,Overcast
2021-01-24,New York,USA,-11.7,-15.3,0.1,22.4,Sunny
2021-01-24,London,UK,3.7,-6.4,0.2,71.2,Sunny
2021-01-24,Tokyo,Japan,-8.5,-12.4,4.8,83.6,Overcast
2021-01-24,Sydney,Australia,33.7,23.6,4.4,57.4,Sunny
2021-01-24,Cairo,Egypt,6.9,-3.0,0.1,22.5,Snow
2021-01-25,New York,USA,-8.7,-15.1,1.5,67.3,Sunny
2021-01-25,London,UK,5.7,-6.8,2.2,61.4,Partly Cloudy
2021-01-25,Tokyo,Japan,-6.5,-13.9,0.1,99,Snow
2021-01-25,Sydney,Australia,32.2,15.0,0.0,36.0,Sunny
2021-01-25,Cairo,Egypt,2.2,0.20000000000000018,0.0,83.6,Sunny
2021-01-26,New York,USA,-6.8,-14.7,0.1,60.8,Snow
2021-01-26,London,UK,1.7,-6.9,1.7,57.6,Snow
