service,status,uptime_pct,p99_ms,error_rate,last_check,region
api-gateway,healthy,99.98,45,0.01,2024-06-10T08:00:00,us-east-1
auth-service,healthy,99.95,62,0.02,2024-06-10T08:00:00,us-east-1
payment-api,degraded,98.12,234,1.40,2024-06-10T08:00:00,us-east-1
user-service,healthy,99.99,28,0.00,2024-06-10T08:00:00,us-west-2
notification-svc,healthy,99.87,91,0.08,2024-06-10T08:00:00,us-west-2
search-api,healthy,99.92,110,0.05,2024-06-10T08:00:00,eu-west-1
recommendations,degraded,97.34,389,2.10,2024-06-10T08:00:00,eu-west-1
analytics-svc,down,0.00,0,100.00,2024-06-10T08:00:00,eu-central-1
media-processor,healthy,99.76,178,0.12,2024-06-10T08:00:00,ap-southeast-1
cdn-edge,healthy,99.99,12,0.00,2024-06-10T08:00:00,global
